Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,BIH,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14580876,16.98220504,22.54147589,20.42684674,17.56668059,15.02944749,10.71851528,14.35182493,14.74896334,13.8812203,11.20817076,9.982516612,9.046265489,7.315683153,8.613378973,8.797492529,6.950315537,
Belarus,BLR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.039557747,0.754270468,0.751442595,0.887128683,1.332989316,0.981971062,0.734917886,0.531004119,0.492787629,0.654563966,0.50992269,0.594920068,0.704441496,0.59268245,0.612967213,0.912586022,0.862393211,0.924685113,1.234433547,1.242873036,1.094281126,1.197130131,
Belize,BLZ,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,0.019283128,0.007307321,0.012262412,0.001442711,0.010599525,0.006665011,,0.023171499,,,,,,,,,,0.013698015,0.007506575,0.157745566,0.162186306,0.195023093,0.131671377,0.126145702,2.393767041,0.01267306,0.06244249,0.002763175,0.000966604,0.015801491,0.021352621,0.000300496,0.00201299,0.004894295,0.000451815,0.000159907,0.000244919,0.000720933,0.010610007,0.197689503,0.122952146,0.18681422,0.255115152,0.532375143,0.607781941,
Bermuda,BMU,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,0.119763421,0.260989325,0.349196228,0.421869256,,0.177737664,0.103770528,1.21E-05,3.20E-05,0.05880122,0.000336926,,0.95033222,0.36123833,0.279685394,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003813303,0.396888618,0.032794416,0.033204097,0.030706752,0.049002884,0.025894247,0.007673515,
Bolivia,BOL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,88.79389425,87.5701628,91.01721635,92.00006874,84.58513485,76.34978821,81.39313328,84.14270044,88.01982511,78.06957798,72.4515282,69.84435989,58.00578168,56.40957638,57.86095204,65.89822964,71.37346167,70.42935104,62.09452858,56.48318689,46.541129,42.3997544,46.34530645,39.03059633,30.83354171,36.35242177,,,,,49.07917405,38.16961568,28.31316755,31.45628193,32.32432893,29.97722752,23.96132517,21.76117759,23.1026067,18.20654201,18.52720507,17.69327917,18.5649435,16.38544209,22.03732206,26.16430803,25.99848266,32.57051681,32.87665589,34.49138058,22.34287473,20.51964608,19.85260708,24.28311078,32.74653664,34.48756088,31.62430589,,
Brazil,BRA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,8.59181048,7.170385278,7.408143279,9.010429933,8.112691071,7.863511679,7.549031903,8.128264876,10.10523735,10.49554484,7.311214326,6.825008421,8.68284361,12.36344013,10.97720504,8.349881904,9.320541421,9.970643194,9.40982188,9.351226449,10.49935968,9.672485349,8.902977829,9.393035182,10.90217074,10.23431366,,12.18928031,13.68068774,14.39617309,11.95058025,10.66143537,9.657436131,10.28557272,10.04353992,9.471658813,10.01188012,10.17046233,10.11351107,8.591533609,8.74037071,8.53329655,8.939352022,10.00395675,11.51531377,11.75616378,12.79696622,12.42029273,18.02653273,19.92117083,16.1304834,16.87006071,15.20888989,11.87902094,11.43218924,12.9178061,12.21247064,13.88355925,
Barbados,BRB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,0.722316468,0.634614403,0.544116304,0.336861188,0.629965699,0.343076083,0.530372769,0.826593163,0.278206985,0.413076314,0.27466419,0.210111804,0.294907792,0.231539087,0.176132097,0.09892117,0.112046072,0.185791676,0.06716785,0.478103686,0.209956126,,,,,0.473728806,0.437197554,0.337321258,0.368475907,0.500024176,0.489087061,0.263017648,0.338057152,0.226439019,0.134232547,0.267299366,0.248965014,0.906139296,1.048466955,1.505454384,2.353297673,2.705250184,1.613000993,1.017565383,1.02356518,0.770534089,0.969629794,1.243563551,0.992124595,0.699242972,0.744969773,1.435721671,1.520444372,
Brunei Darussalam,BRN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.000699816,0.002150687,0.003000991,0.050422965,0.056266759,0.070186812,0.056195817,0.072924751,0.074833496,0.078052977,0.073756782,0.023567379,0.054431733,0.011278994,0.013285534,0.005828047,0.029590903,0.034940376,0.004188668,0.00667998,0.012999318,0.014453323,0.022118056,0.020220937,0.033822155,0.023306008,,,,,0.0075437,,3.36E-06,,,0.048573569,0.0851608,,,0.001238716,0,0.000749943,0.117652361,,0.115295319,0.091878189,0.085533758,0.079041521,0.154269769,0.090638008,0.105984267,0.094817812,0.109636733,0.160154125,0.319455886,0.25682398,0.000352934,0.329762111,
Bhutan,BTN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.759828965,3.498660046,,,,3.334984342,3.112314258,,,,,,8.37028143,11.68228844,14.88068627,1.301542728,10.23399534,21.93358742,21.40846084,11.50942865,,,,,,,,
Botswana,BWA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.969488543,5.480600461,4.914413179,10.72450022,11.21065141,11.45060302,16.6329203,23.21778273,18.95506512,15.70110457,14.81281283,8.657652466,9.368616962,9.176759741,6.878427707,7.234556085,4.034067876,2.569328685,1.048476376,0.78569312,
